Year,Géographie,Sources des déchets à des fins d'élimination,GeoCode,Value
2018,Québec,Sources de déchets non résidentielles à des fins d'élimination,,3231578.0
2018,Québec,Sources de déchets résidentielles à des fins d'élimination,,2331557.0
2018,Ontario,Toutes les sources de déchets à des fins d'élimination,35,10085613.0
2018,Ontario,Sources de déchets non résidentielles à des fins d'élimination,,3980665.0
2018,Ontario,Sources de déchets résidentielles à des fins d'élimination,,6104948.0
2018,Manitoba,Toutes les sources de déchets à des fins d'élimination,46,963256.0
2018,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,,333742.0
2018,Manitoba,Sources de déchets résidentielles à des fins d'élimination,,629514.0
2018,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,47,864753.0
2018,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,,381180.0
2018,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,,483573.0
2018,Alberta,Toutes les sources de déchets à des fins d'élimination,48,4118081.0
2018,Alberta,Sources de déchets non résidentielles à des fins d'élimination,,1336765.0
2018,Alberta,Sources de déchets résidentielles à des fins d'élimination,,2781316.0
2018,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,59,2719877.0
2018,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,,993371.0
2018,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,,1726506.0
2018,"Yukon, Territoires du Nord-Ouest et Nunavut",Toutes les sources de déchets à des fins d'élimination,,90489.0
2018,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets non résidentielles à des fins d'élimination,,32621.0
2018,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets résidentielles à des fins d'élimination,,57868.0
2020,Canada,Sources de déchets non résidentielles à des fins d'élimination,,10862118.0
2020,Canada,Sources de déchets résidentielles à des fins d'élimination,,15245602.0
2020,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,10,365210.0
2020,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,,161147.0
2020,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,,204063.0
2020,Île-du-Prince-Édouard,Toutes les sources de déchets à des fins d'élimination,11,55803.0
2020,Île-du-Prince-Édouard,Sources de déchets non résidentielles à des fins d'élimination,,20174.0
2020,Île-du-Prince-Édouard,Sources de déchets résidentielles à des fins d'élimination,,35629.0
2020,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,12,399735.0
2020,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,,157740.0
2020,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,,241995.0
2020,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,13,498839.0
2020,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,,215093.0
2020,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,,283746.0
